ID,Name
CB_Company_231,"Guangzhou Zhiya Chemdrugs Co.,Ltd"
CB_Company_232,"Hangzhou Verychem Science And Technology Co., Ltd"
CB_Company_233,"Jiangxi Biochem Co., Ltd."
CB_Company_234,"Hangzhou Share Chemical Co., Ltd"
CB_Company_235,"Sangon Biotech (Shanghai) Co., Ltd."
CB_Company_236,"Kunshan Yalong Trading Co.,Ltd"
CB_Company_237,"TIANJIN PHARMACN MEDICAL TECHNOLOGY CO.,LTD."
CB_Company_238,"Zhejiang Kaili Industrial Co., Ltd."
CB_Company_239,"Changzhou Huanian Chemical Co., Ltd"
CB_Company_240,"Shanghai potentpharm CO.,Ltd"
CB_Company_241,"Hebei Kaixiang Fine Chemical Co., Ltd"
CB_Company_242,"Huansheng Meisen Pharmaceutical Technology (Shandong) Co., Ltd"
CB_Company_243,"Zhengzhou Edward Biology Co.,Ltd"
CB_Company_244,"Wuhan kemike Biomedical Technology Co., Ltd"
CB_Company_245,"Tianmen Hengchang Chemical Co., Ltd"
CB_Company_246,Atomic chemistry
CB_Company_247,"Beijing Aomi Jiade Pharmaceutical Technology Co., Ltd"
CB_Company_248,Shandong Debek Bioengineering Co. LTD
CB_Company_249,Yuzhou Enthalpy Carbon Pharmaceutical Technology Co. LTD
CB_Company_250,Shandong Hydrocarbon Bio-Chemical Co. LTD
CB_Company_251,"Huaian Jiamu Biotechnology Co., Ltd."
CB_Company_252,"Shandong Liteng Biotechnology Co., Ltd"
CB_Company_253,"Wuhan DKY Technology Co.,Ltd."
CB_Company_254,"Yangzhou Princechem Co.,Ltd"
CB_Company_255,"Shanghai Hao Yun Chemical Science Co.,Ltd."
CB_Company_256,Jiangsu Mingchem Corporation
CB_Company_257,"Nanjing Hengweisheng Pharmaceutical Technology Co., Ltd"
CB_Company_258,"Chongqing Yuzhiquan Biological Technology Co., Ltd."
CB_Company_259,"Zhuhai Aobokai Biomedical Technology Co., Ltd."
CB_Company_260,"Hubei Enxing Biotechnology Co., Ltd"
CB_Company_261,"Guangdong Fangxin Biotechnology Co., Ltd."
CB_Company_262,"Yangzhou Qianhang Chemical Technology Co., Ltd."
CB_Company_263,"Suzhou Xinrui Biotechnology Co., Ltd."
CB_Company_264,"Beijing Jin Ming Biotechnology Co., Ltd."
CB_Company_265,Shijiazhuang Qiyue Chemical Co. LTD
CB_Company_266,"Hubei Smer Pharmaceutical Technology Co., Ltd."
CB_Company_267,Nanjing chemical reagent co. LTD
CB_Company_268,Henan Evonik Biotechnology Co. LTD
CB_Company_269,"Shanghai Taijilin Industrial Co., Ltd."
CB_Company_270,"Shandong Fengyuan Chemical Co., Ltd."
CB_Company_271,"Shanghai Aachen Biomedical Co., Ltd."
CB_Company_272,"Chongqing Yaxianglong Biological Medicine Co., Ltd."
CB_Company_273,"Zibo Tai Lize Chemical Co., Ltd."
CB_Company_274,"Weifang Weimeng Chemical Co., Ltd"
CB_Company_275,"Changzhou Liren Medical Technology Co., Ltd"
CB_Company_276,"ShangHai Biogene pharmaceutical Co.,Ltd"
CB_Company_277,"Shanghai Longyu Biotechnology Co., Ltd."
CB_Company_278,Siyang Liaoning Biochemical Products Co. Ltd
CB_Company_279,"Shandong Jiahong Chemical Co., Ltd"
CB_Company_280,"Anhui Yiao New Material Technology Co., Ltd"
CB_Company_281,"Hebei Miaoyin Technology Co.,Ltd"
CB_Company_282,Hebei Endun Biological Technology Co. LTD
CB_Company_283,"Anhui Ruihan Technology Co., Ltd"
CB_Company_284,"Wuhan Ruichi Technology Co., Ltd"
CB_Company_285,"Hebei Fengqiang Trading Co., LTD"
CB_Company_286,"Hebei Xinsheng New Material Technology Co., LTD."
CB_Company_287,"Wuhan Boyuan Import & Export Co., LTD"
CB_Company_288,"Xiamen AmoyChem Co., Ltd"
CB_Company_289,"WinWin Chemical CO., Limited"
CB_Company_290,"changzhou huayang technology co., ltd"
CB_Company_291,"ShanDong Look Chemical Co.,Ltd."
CB_Company_292,"Zouping mingyuan import & export trading co., ltd"
CB_Company_293,"Jiangsu shring Biopharma Co., Ltd."
CB_Company_294,"Anhui Yisheng Technology Co., LTD"
CB_Company_295,"SUZHOU SENFEIDA CHEMICAL CO.,LTD"
CB_Company_296,"Shaoxin Catsyn Co., Ltd."
CB_Company_297,"Shandong Hanjiang Chemical Co., Ltd"
CB_Company_298,Shanghai CR Corporation Limited
CB_Company_299,Wuhan Han Sheng New Material Technology Co.ï¼ŒLtd
CB_Company_300,"Chemport Science Technology Shanghai) Co., Ltd."
CB_Company_301,"Shandong Xinhua Pharmceutical Co.,LTD"
CB_Company_302,"Shanghai Sunwise Chemical Co., Ltd"
CB_Company_303,Shandong Zhi Shang Chemical Co.Ltd
CB_Company_304,Sinfachem Limited
CB_Company_305,"Hangzhou Yunuo Chemical Co., Ltd"
CB_Company_306,"Neostar United Industrial Co., Ltd."
CB_Company_307,Aecochem Corp.
CB_Company_308,"Shandong Xinhua Pharmaceutical Group Co., Ltd"
CB_Company_309,"Suzhou Pharmaceutical Technology co.,ltd"
CB_Company_310,"Shanghai Chemrole Co., Ltd"
CB_Company_311,"Hangzhou Dingyan Chem Co., LTD"
